Organization Name,City,State,Zipcode,Address,Organization Website,Number,Average Amount
Valley Small Business Development Corporation,Fresno,CA,93711--076,7035 N. Fruit Avenue,http://VSBDC.com,23,369391.3043
Sustainable Neighborhoods LLC,New York,NY,10004--200,"55 Broad Street, 10th Floor",http://cnycn.org/,21,151676.2381
"Baltimore Community Lending, Inc.",Baltimore,MD,21201,"875 Hollins Street, Suite 301",www.bclending.org,21,714657.1429
Hartford Community Loan Fund,Hartford,CT,6105,215 Garden St.,HartfordLoans.org,21,317184
"Impact Loan Fund, Inc.",Philadelphia,PA,19134--312,1952 East Allegheny Avenue,www.impactloanfund.org,19,134392.1053
"Cooperative Business Assistance Corp, The",Camden,NJ,08102--152,328 Market Street,cbaclenders.com,19,150616.5789
South Carolina Community Loan Fund,Charleston,SC,29407--574,1051-A Gardner Road,http://www.sccommunityloanfund.org,18,370518.3333
"LiftFund, Inc.",San Antonio,TX,78210,2014 S. Hackberry St,www.liftfund.com,17,186302.5294
"Solitas House, Inc.",Tampa,FL,33680,PO Box 310257,www.solitashouse.com,17,133618.8235
Genesis LA Economic Growth Corporation,Los Angeles,CA,90017--461,"801 S. Grand Avenue, Suite 850",http://www.genesisla.org,17,918271.4706
Rocky Mountain Community Reinvestment Corporation,Salt Lake City,UT,84107,64 East Winchester Street Suite 330,www.rmcrc.org,17,1522382.706
California Coastal Rural Development Corporation,Salinas,CA,93901--047,221 Main Street  Suite 301,http://www.calcoastal.org,17,356470.5882
"Institute Capital, Inc.",Durham,NC,27701,114 West Parrish  Street,www.theinstitutenc.org,15,256570.2667
"NeighborGood Partners, Inc.",Dover,DE,19904--272,363 Saulsbury Rd,http://www.neighborgoodpartners.org,15,882481.6
Rockingham Economic Development Corp,Raymond,NH,03077--232,57 Main Street,http://www.redc.com,14,167500
Dakota Business Lending,Fargo,ND,58104,5630 36th Ave. S,www.dakotabusinesslending.com,14,381785.7143
"Reinvestment Fund, Inc., The",Philadelphia,PA,19103--390,1700 Market Street  19th Floor,http://www.reinvestment.com,13,1214153.846
Nebraska Enterprise Fund,Oakland,NE,68045--113,330 N. Oakland Ave.,www.nebbiz.org,13,88461.53846
Northland Foundation,Duluth,MN,55802--194,"202 West Superior Street, Suite 800",http://www.northlandfdn.org,13,139769.2308
"Community Ventures Corporation, Inc.",Lexington,KY,40505--316,1450 North Broadway,www.cvky.org,13,556026.6154
Ventana Fund,Albuquerque,NM,87125,P.O. Box 25483,www.ventanafund.org,13,763497.5385
"Native360 Loan Fund, Inc.",GRAND ISLAND,NE,68802,PO Box 5683,https://native360.org/,13,159959.6923
Arcata Economic Development Corporation,Eureka,CA,95501,707 K Street,http://www.aedc1.org,13,320500
Columbus Housing Initiative,Columbus,GA,31902--162,PO Box 1620,http://nwcolumbus.org,13,115338.4615
CDCLI Funding Corporation,Melville,NY,11747,"1660 Walt Whitman Road, Suite 130",http://www.cdcli.org,12,124862.5
SNAP Financial Access,Spokane,WA,99224--520,3102 W. Whistalks Way,https://snapfinancialaccess.org/,12,241295.5
Haa Yakaawu Financial Corporation,Juneau,AK,99801,5446 Jenkins Drive,Non given,12,189145.9167
"Common Capital, Inc.",Springfield,MA,1103,1780 Main Street,www.commoncapitalma.org,12,140416.6667
"Black Business Investment Fund, Inc.",Orlando,FL,32801--273,301 E. Pine Street  Suite 175,www.bbif.com,11,409008.8182
Southern Bancorp Capital Partners,Little Rock,AR,72211--350,"400 Hardin Road, Suite 100",www.southernpartners.org,11,196976
"Enterprise Community Loan Fund, Inc.",Columbia,MD,21044--349,"70 Corporate Center  11000 Broken Land Parkway, Suite 700",http://www.enterprisecommunity.org,10,1243877.9
HHOC Mortgage,Honolulu,HI,96817--396,1259 Aala St #201,http://www.hhocmortgage.org,10,89580.1
Latino Economic Development Center,Saint Paul,MN,55106,804 Margaret Street,http://www.ledcmn.org,10,182500
Lowell Community Loan Fund,Lawrence,MA,01840--186,"50 Island Street, Suite 103",www.mccinvest.org,10,81683.3
Legacy Redevelopment Corporation,Milwaukee,WI,53205--124,1536B W. North Ave,www.lrcmke.com,9,259150.3333
Wisconsin Women's Business Initiative Corporation,Milwaukee,WI,53212--391,1533 N RiverCenter Drive,www.wwbic.com,9,160981.4444
"HomesFund (La Plata Homes Fund, Inc.)",Durango,CO,81302--217,PO Box 2179,www.homesfund.org,9,89327.77778
"Cook Inlet Lending Center, Inc.",Anchorage,AK,99503--377,"3600 Spenard Rd, Ste 100",www.cookinletlending.com,9,212753.2222
African Development Center,Minneapolis,MN,55454--125,1931 South 5th Street,http://www.adcminnesota.org,9,208819.8889
Community Preservation Corporation,New York,NY,10017,"220 E 42nd Street, 16th Floor",www.communityp.com,9,643166.6667
National Asian American Coalition,Daly City,CA,94015--141,"318 Westlake Center, Suite 270",http://www.naac.org,9,118022.2222
Low Income Investment Fund,San Francisco,CA,94105,"49 Stevenson Street, Suite 300",http://www.liifund.org,8,1895427.625
NEIGHBORHOOD DEVELOPMENT CENTER,SAINT PAUL,MN,55104--509,625 UNIVERSITY AVE W,www.ndc-mn.org,8,164375
Tennessee Rural Development Fund LLC,Cookeville,TN,38501,"1227 N Washington Ave., Ste 107",www.tnrdf.com,8,885125
Shared Capital Cooperative,Saint Paul,MN,55114--176,"2388 University Ave W, Suite 300",www.sharedcapital.coop,8,407851
"Civic Community Partners, Inc.",San Diego,CA,92108--164,"8989 Rio San Diego Dr., Suite 100",http://www.CivicCommunities.com,8,581250
Ventura County Community Development Corporation,OXNARD,CA,93030,2231 Sturgis Road  Suite A,http://www.vccdc.org,8,226437.5
Prince Georges Financial Services Corporation,Largo,MD,20774--546,1801 McCormick Drive  Suite 300,www.fscfirst.com,8,150687.5
DreamSpring,Albuquerque,NM,87104--204,2000 Zearing Ave. NW,www.DreamSpring.org,8,241115.25
New Hope Community Capital Inc.,Boston,MA,02116--624,185 Dartmouth Street,http://www.newhopehousinginc.org/,7,1825349
Northern Great Lakes Initiatives,Marquette,MI,49855,101 W. Washington St. Suite 9,www.northerninitiatives.org,7,180578.5714
Neighborhood Housing Finance Corporation,Quincy,MA,02169--571,422 Washington Street,www.nhsmass.org,7,730238.8571
Cape & Islands Community Development Inc.,Centerville,MA,02632--142,5 Patti Page Way,http://www.coastalcommunitycapital.org,7,243675
Capital Impact Partners,Arlington,VA,22202--416,"1400 Crystal Drive, Suite 500",www.capitalimpact.org,7,997142.8571
Arkansas Capital Corporation,Little Rock,AR,72201--176,200 River Market Ave  Suite 400,Non given,7,449042.8571
Justine Petersen Housing & Reinvestment Corporation,St. Louis,MO,63106,1023 North Grand Blvd,www.justinepetersen.org,7,177337.7143
BlueHub Loan Fund Inc,Boston,MA,02119--177,10 Malcolm X Boulevard,www.bluehubcapital.org,7,1325050.143
City First Enterprises Inc,Washington,DC,20036,"1701 Rhode Island NW
Suite 3-103",http://www.cfenterprises.org,6,1074469.167
Ohio Capital Finance Corporation,Columbus,OH,43215--352,"88 East Broad Street,  Suite 1800",Non given,6,1974070
"Local Enterprise Assistance Fund, Inc.",Boston,MA,2135,386 Western Ave.,www.leaffund.org,6,996666.6667
PACE Finance Corporation,Los Angeles,CA,90017--565,1055 Wilshire Blvd.  Suite 1475,www.pacela.org,6,270000
Northwest Native Development Fund,Coulee Dam,WA,99116--015,PO Box 154,www.thenndf.org,6,275528.3333
PeopleFund,Austin,TX,78702--150,"2921 E. 17th Street  Building D, Suite 1",www.peoplefund.org,6,208383.3333
Ventures,Seattle,WA,98144,"2100 24th Avenue S., Suite 380",www.venturesnonprofit.org,6,210000
